Antifade,Transcript,Stack_No,Avg_Max,Std_Max,SEM_Max,Avg_Min,Std_Min,SEM_Min,Avg_Mean,Std_Mean,SEM_Mean,Norm_avg_Max,Norm_std_Max,Norm_SEM_Max,Norm_avg_Min,Norm_std_Min,Norm_SEM_Min,Norm_avg_Mean,Norm_std_Mean,Norm_SEM_Mean
n-propyl_vecta,imb-2,45,709.5714286,158.6484814,42.40059017,161.8571429,23.42535491,6.260689446,321.6862857,57.19274245,15.28540338,0.844681373,0.038144498,0.010194546,0.956556857,0.028942761,0.007735278,0.894037108,0.026354321,0.007043489
n-propyl_vecta,imb-2,46,711.7857143,158.2525628,42.29477646,160.7142857,22.74415756,6.078631797,321.1814286,57.01436172,15.23772912,0.848013873,0.044672113,0.011939124,0.950277517,0.028958995,0.007739617,0.892687565,0.026577382,0.007103104
n-propyl_vecta,imb-2,47,716.0714286,157.9885411,42.2242137,161.2857143,22.91599566,6.12455746,320.6475,56.90382149,15.208186,0.852827339,0.03465757,0.009262625,0.953326064,0.023599631,0.006307267,0.891221697,0.026597935,0.007108597
n-propyl_vecta,imb-2,48,706.5714286,154.9544421,41.41331663,161.5714286,23.5885053,6.304293222,320.1968571,56.72881731,15.16141417,0.842509406,0.047195028,0.012613402,0.954742018,0.029166088,0.007794965,0.890045277,0.027105589,0.007244273
n-propyl_vecta,imb-2,49,703.5,159.2828882,42.57014251,162.8571429,23.36946444,6.245752089,319.7099286,56.54038197,15.1110527,0.836613924,0.035313775,0.009438003,0.962628887,0.027435818,0.007332531,0.888757471,0.027349844,0.007309553
n-propyl_vecta,imb-2,50,700.6428571,158.1599031,42.27001212,160.6428571,22.61247832,6.043439039,319.19,56.3620929,15.06340295,0.833329838,0.03788642,0.010125572,0.949913275,0.028530306,0.007625045,0.887359641,0.027435308,0.007332395
n-propyl_vecta,imb-2,51,692.2142857,146.3784235,39.12127925,160.0714286,22.73074599,6.075047402,318.6703571,56.23413099,15.02920369,0.82722361,0.050653711,0.013537774,0.946480757,0.030146849,0.008057084,0.885944808,0.027601294,0.007376756
n-propyl_vecta,imb-2,52,693.5,148.9371318,39.80512281,161.1428571,22.97442439,6.140173193,318.1614286,56.08280003,14.98875878,0.827693449,0.051103509,0.013657987,0.952699928,0.029370264,0.007849533,0.88457233,0.027726287,0.007410162
n-propyl_vecta,imb-2,53,690.9285714,145.6325536,38.92193713,160.7857143,22.54287734,6.024837394,317.6415,55.96396541,14.9569989,0.825456645,0.051120328,0.013662482,0.950811594,0.028627208,0.007650943,0.883153626,0.027883285,0.007452121
n-propyl_vecta,imb-2,54,690.2857143,149.9889373,40.08622966,161.1428571,22.50762996,6.015417137,317.1911429,55.82090213,14.91876363,0.823288729,0.045256298,0.012095254,0.95331234,0.034089471,0.009110794,0.881939936,0.0279102,0.007459315
